address,total_staked
rdx1qspttk38lhqjdxemv3feuqr6fu0j9d6cc2eju2xt8wghssghrewthycfk4val,1723171.41484
rdx1qsp7e89v39w04sj2q33jya3t3zptdskxkuluqydr69ynewpgee7cv9gq3ez49,1721092.16521
rdx1qsp0v535jter4w4qdp0nkpcfsp0r7wmtwt8dw594rgk6ayshyz0yc5q66e0m4,1719872.93736
rdx1qspr28gc67mjrzj2v69uac7tj33y5r79n8z7fz6h953myfe0l93lgcq30r3x7,1713535.74971
rdx1qsp98hhk2wvu77vuxgmwt2zxe9tccz6rj3hdhqarxsmkc552fjgrdugye20pd,1711800.80223
rdx1qsprnlqmv6uvj2eumrayn3h4w6dky90hyl2p3lchrq8fq6rtus08mqsxh6fws,1710901.91135
rdx1qspg93k0j2lmd22gerd4an9mdtrrc5r6xhp62ayhukgdkqh4ufve4fqdhcz99,1709535.49493
rdx1qspc66evw9ks86wvetun8kemdqa27m253kl9ydmegyc46nf7m0q0ztcdj9gwx,1708181.00965
rdx1qspvrcpqaeyaf4ce2acygg6dfr5qtv9vdw75dlvefy825afwees4z2cy48v06,1698381.47939
rdx1qspcpt49609ly9sk6gtmvsc4zvczwszefj74xrluarq80k324pa57ygkc58qz,1688930.30865
rdx1qspzgpwgnc3jt5veq804s6hm7jlutvfsdwnkj74ua4p54ncd5guv9asx420r4,1683984.67226
rdx1qspzf0hkdw0jyfxha9aszrs9mjq5hy79t87xnx624ldvutj3pwgwt9sfjugae,1671017.66148
rdx1qspf4dwxak33k6xgz54mqjmppqz9c0vq80qrkr5rxyeus2x6tw44uxq0lr0hn,1668191.34562
rdx1qsp8k7xmc0qp62untpyzgxr7ga8mzscmk3qywy87x4yprpn775ae5aqqeggmv,1665009.15301
rdx1qspxcnww58ltmjgtg8rzelm03hej4sdr4nsm8hl9xamz7cdg6a6fq3cgtx64m,1655923.72844
rdx1qspzksz0k6ngyyycnvhpg9hhd6u3y3c40kney508uvn3y3nyzg36kygp777hx,1647510.32976
rdx1qspnf7pa2rwf6sdygs5w6v2v6ty83gf4en4npsp34guce93hadkqf6q8aty8l,1617217.56595
rdx1qspnmx3p7mzryn5xe22064t9gvex72ta5fwqzg87a0mlyneljt90fuqqcuy6y,1601408.6346
rdx1qsptc3lmy7pl60rlkl2mh2aurdcu3dsyu9xzae9d74vkp3f4706pqsqx6furw,1596087.17545
rdx1qsph57etpmzh2fjt5paa8yj0jemymackp7xep0rtnq3kasq60gwnhxcj9ypwp,1577901.80643
rdx1qspkgka9lpqr4dm2uj52j933t5muj5nh80adylxdz7a0ejg7kptfaycyw6myu,1576738.40103
rdx1qspgp355shzqs85k5z389vd8yh8pe0h6hrxjfeaar9ucyq3svrek8vccfd3ce,1569901.71376
rdx1qsp9tcqd5w0zraw93rrguxezt50nyk2uujtx5mscevvyp3jertwcp4c26yamf,1568726.19542
